t,C-by-GE-E6AC69A9_humidity,C-by-GE-E6AC69A9_temperature,M_BEDRM_humidity,M_BEDRM_temperature,M_BKROOM_humidity,M_BKROOM_temperature,M_BSMNT_humidity,M_BSMNT_temperature,M_GARAGE_humidity,M_GARAGE_temperature,M_GUEST_humidity,M_GUEST_temperature,M_LVNGRM_humidity,M_LVNGRM_temperature,M_NURSERY_humidity,M_NURSERY_temperature,M_OFFICE_humidity,M_OFFICE_temperature,nursery_particles_03um,nursery_particles_05um,nursery_particles_100um,nursery_particles_10um,nursery_particles_25um,nursery_particles_50um,nursery_pm100_env,nursery_pm100_standard,nursery_pm25_env,nursery_pm25_standard,tree_water_normalized,tree_water_raw
2022-12-11T19:05:00-05:00,,,,,51.2,9.59,,,74.2,8.2,,,,,,,,,456.0,128.0,0.0,23.0,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T19:10:00-05:00,,,,,51.2,9.58,,,74.2,8.2,,,,,,,,,430.5,123.5,0.0,19.0,0.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T19:15:00-05:00,,,,,51.2,9.585,,,74.1,8.2,,,,,,,,,447.0,119.0,0.0,18.0,1.0,0.0,3.0,3.0,2.0,2.0,,
2022-12-11T19:20:00-05:00,,,,,51.3,9.57,,,74.0,8.18,,,,,,,,,468.0,134.0,0.0,21.0,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T19:25:00-05:00,,,,,51.3,9.59,,,73.9,8.19,,,,,,,,,501.0,141.5,0.0,24.5,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T19:30:00-05:00,,,,,51.3,9.59,,,73.8,8.18,,,,,,,,,480.0,128.0,0.0,21.0,0.0,0.0,3.0,3.0,2.5,2.5,,
2022-12-11T19:35:00-05:00,,,,,51.3,9.575,,,73.7,8.175,,,,,,,,,468.0,137.0,0.0,24.0,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T19:40:00-05:00,,,,,51.3,9.57,,,73.6,8.16,,,,,,,,,480.0,137.0,0.0,28.0,2.0,0.0,4.0,4.0,3.0,3.0,,
2022-12-11T19:45:00-05:00,,,,,51.4,9.575,,,73.5,8.165,,,,,,,,,480.0,132.0,0.0,17.0,0.0,0.0,3.0,3.0,2.0,2.0,,
2022-12-11T19:50:00-05:00,,,,,51.3,9.56,,,73.4,8.16,,,,,,,,,540.0,146.0,0.0,22.0,2.0,0.0,4.0,4.0,3.0,3.0,,
2022-12-11T19:55:00-05:00,,,,,51.4,9.55,,,73.5,8.15,,,,,,,,,487.5,143.5,0.0,21.0,1.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T20:00:00-05:00,,,,,51.4,9.56,,,74.6,8.25,,,,,,,,,522.0,146.0,0.0,25.0,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T20:05:00-05:00,,,,,51.4,9.55,,,74.6,8.44,,,,,,,,,528.0,149.0,0.0,28.0,0.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T20:10:00-05:00,,,,,51.45,9.55,,,74.3,8.62,,,,,,,,,568.5,167.5,0.0,21.5,2.0,0.0,4.0,4.0,4.0,4.0,,
2022-12-11T20:15:00-05:00,,,,,51.5,9.55,,,74.0,8.75,,,,,,,,,526.5,151.5,0.0,22.0,2.0,0.0,4.0,4.0,3.0,3.0,,
2022-12-11T20:20:00-05:00,,,,,51.5,9.545,,,73.7,8.84,,,,,,,,,555.0,153.0,0.0,23.0,2.0,0.0,4.0,4.0,3.0,3.0,,
2022-12-11T20:25:00-05:00,,,,,51.5,9.54,,,73.4,8.89,,,,,,,,,568.5,157.5,0.0,25.5,2.0,0.0,4.0,4.0,4.0,4.0,,
2022-12-11T20:30:00-05:00,,,,,51.6,9.545,,,73.1,8.94,,,,,,,,,642.0,187.0,0.0,30.0,0.0,0.0,4.0,4.0,4.0,4.0,,
2022-12-11T20:35:00-05:00,,,,,51.6,9.54,,,72.9,8.96,,,,,,,,,592.5,164.0,0.0,30.0,2.0,0.0,4.5,4.5,4.0,4.0,,
2022-12-11T20:40:00-05:00,,,,,51.6,9.54,,,72.6,8.96,,,,,,,,,619.5,172.5,0.0,29.0,2.0,0.0,4.0,4.0,4.0,4.0,,
2022-12-11T20:45:00-05:00,,,,,51.7,9.545,,,72.4,8.97,,,,,,,,,579.0,163.5,0.0,27.0,4.0,0.0,4.0,4.0,3.5,3.5,,
2022-12-11T20:50:00-05:00,,,,,51.7,9.54,,,72.3,8.97,,,,,,,,,547.5,152.0,0.0,22.0,0.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T20:55:00-05:00,,,,,51.8,9.55,,,72.15,8.975000000000001,,,,,,,,,520.5,149.0,0.0,26.0,2.0,0.0,4.0,4.0,4.0,4.0,,
2022-12-11T21:00:00-05:00,,,,,51.8,9.55,,,71.95,8.96,,,,,,,,,564.0,159.0,0.0,31.0,3.0,0.0,4.0,4.0,4.0,4.0,,
2022-12-11T21:05:00-05:00,,,,,51.8,9.55,,,71.8,8.95,,,,,,,,,627.0,180.0,0.0,28.0,2.0,0.0,4.0,4.0,4.0,4.0,,
2022-12-11T21:10:00-05:00,,,,,51.8,9.55,,,71.5,8.93,,,,,,,,,577.5,157.0,0.0,26.5,2.0,0.0,4.0,4.0,4.0,4.0,,
2022-12-11T21:15:00-05:00,,,,,51.9,9.56,,,71.3,8.92,,,,,,,,,636.0,174.5,0.0,28.5,2.0,0.0,4.5,4.5,4.0,4.0,,
2022-12-11T21:20:00-05:00,,,,,51.9,9.55,,,71.2,8.9,,,,,,,,,432.0,126.0,0.0,24.0,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T21:25:00-05:00,,,,,51.9,9.545,,,71.1,8.895,,,,,,,,,403.5,111.0,0.0,22.0,2.0,2.0,3.0,3.0,2.0,2.0,,
2022-12-11T21:30:00-05:00,,,,,51.9,9.55,,,70.9,8.88,,,,,,,,,414.0,119.5,0.0,20.5,0.0,0.0,2.5,2.5,2.5,2.5,,
2022-12-11T21:35:00-05:00,,,,,52.0,9.55,,,70.7,8.85,,,,,,,,,396.0,106.5,0.0,19.5,2.0,0.0,3.0,3.0,2.0,2.0,,
2022-12-11T21:40:00-05:00,,,,,52.0,9.55,,,70.5,8.84,,,,,,,,,351.0,102.0,0.0,16.0,2.0,0.0,2.0,2.0,2.0,2.0,,
2022-12-11T21:45:00-05:00,,,,,52.0,9.55,,,70.3,8.815000000000001,,,,,,,,,418.5,113.5,0.0,22.0,2.0,0.0,3.0,3.0,2.0,2.0,,
2022-12-11T21:50:00-05:00,,,,,52.1,9.55,,,70.2,8.79,,,,,,,,,484.5,136.5,0.0,25.5,1.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T21:55:00-05:00,,,,,52.1,9.555,,,70.0,8.77,,,,,,,,,432.0,113.5,0.0,18.0,0.0,0.0,2.0,2.0,2.0,2.0,,
2022-12-11T22:00:00-05:00,,,,,52.1,9.55,,,69.95,8.75,,,,,,,,,522.0,153.0,0.0,23.0,2.0,0.0,4.0,4.0,3.0,3.0,,
2022-12-11T22:05:00-05:00,,,,,52.1,9.53,,,69.9,8.74,,,,,,,,,547.5,150.0,0.0,25.0,1.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T22:10:00-05:00,,,,,52.1,9.54,,,69.9,8.72,,,,,,,,,510.0,151.0,0.0,20.5,0.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T22:15:00-05:00,,,,,52.2,9.53,,,69.9,8.7,,,,,,,,,487.5,135.0,0.0,26.5,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T22:20:00-05:00,,,,,52.2,9.53,,,69.9,8.68,,,,,,,,,544.5,151.0,0.0,24.0,2.0,0.0,4.0,4.0,3.0,3.0,,
2022-12-11T22:25:00-05:00,,,,,52.2,9.52,,,69.9,8.66,,,,,,,,,508.5,141.0,0.0,23.5,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T22:30:00-05:00,,,,,52.2,9.52,,,69.8,8.63,,,,,,,,,454.5,123.5,0.0,22.0,2.0,0.0,3.0,3.0,2.0,2.0,,
2022-12-11T22:35:00-05:00,,,,,52.2,9.51,,,69.8,8.61,,,,,,,,,466.5,131.0,0.0,20.0,2.0,0.0,3.0,3.0,2.0,2.0,,
2022-12-11T22:40:00-05:00,,,,,52.2,9.52,,,69.7,8.59,,,,,,,,,496.5,139.5,0.0,25.0,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T22:45:00-05:00,,,,,52.2,9.5,,,69.7,8.57,,,,,,,,,480.0,133.0,0.0,24.0,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T22:50:00-05:00,,,,,52.2,9.5,,,69.8,8.56,,,,,,,,,495.0,132.5,0.0,22.0,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T22:55:00-05:00,,,,,52.2,9.49,,,69.8,8.53,,,,,,,,,462.0,135.0,0.0,23.0,0.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T23:00:00-05:00,,,,,52.2,9.5,,,69.8,8.5,,,,,,,,,478.5,127.5,0.0,14.5,2.0,0.0,3.0,3.0,2.0,2.0,,
2022-12-11T23:05:00-05:00,,,,,52.2,9.48,,,69.7,8.5,,,,,,,,,447.0,125.5,0.0,18.0,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T23:10:00-05:00,,,,,52.2,9.48,,,69.7,8.47,,,,,,,,,462.0,127.0,0.0,21.0,0.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T23:15:00-05:00,,,,,52.2,9.47,,,69.7,8.44,,,,,,,,,465.0,136.0,0.0,20.0,0.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T23:20:00-05:00,,,,,52.2,9.47,,,69.7,8.42,,,,,,,,,474.0,125.0,0.0,19.0,0.0,0.0,3.0,3.0,2.0,2.5,,
2022-12-11T23:25:00-05:00,,,,,52.3,9.47,,,69.7,8.405000000000001,,,,,,,,,487.5,136.5,0.0,24.0,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T23:30:00-05:00,,,,,52.3,9.46,,,69.7,8.38,,,,,,,,,459.0,124.5,0.0,21.5,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T23:35:00-05:00,,,,,52.3,9.46,,,69.7,8.36,,,,,,,,,456.0,130.0,0.0,21.0,0.0,0.0,3.0,3.0,2.0,2.0,,
2022-12-11T23:40:00-05:00,,,,,52.3,9.445,,,69.7,8.34,,,,,,,,,483.0,137.5,0.0,20.5,0.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-11T23:45:00-05:00,,,,,52.3,9.44,,,69.7,8.32,,,,,,,,,435.0,122.0,0.0,19.0,0.0,0.0,2.0,2.0,2.0,2.0,,
2022-12-11T23:50:00-05:00,,,,,52.2,9.44,,,69.7,8.29,,,,,,,,,471.0,124.5,0.0,21.0,0.0,0.0,3.0,3.0,2.5,3.0,,
2022-12-11T23:55:00-05:00,,,,,52.3,9.43,,,69.7,8.27,,,,,,,,,430.5,119.5,0.0,21.0,0.0,0.0,3.0,3.0,2.0,2.0,,
2022-12-12T00:00:00-05:00,,,,,52.3,9.425,,,69.7,8.24,,,,,,,,,423.0,117.5,0.0,20.5,0.0,0.0,3.0,3.0,2.0,2.0,,
2022-12-12T00:05:00-05:00,,,,,52.3,9.42,,,69.7,8.22,,,,,,,,,423.0,121.0,0.0,21.0,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-12T00:10:00-05:00,,,,,52.3,9.42,,,69.7,8.19,,,,,,,,,403.5,113.0,0.0,17.5,0.0,0.0,2.0,2.0,2.0,2.0,,
2022-12-12T00:15:00-05:00,,,,,52.3,9.4,,,69.6,8.17,,,,,,,,,418.5,113.5,0.0,16.0,2.0,0.0,3.0,3.0,2.0,2.0,,
2022-12-12T00:20:00-05:00,,,,,52.3,9.4,,,69.6,8.15,,,,,,,,,420.0,117.5,0.0,20.0,0.0,0.0,3.0,3.0,2.0,2.0,,
2022-12-12T00:25:00-05:00,,,,,52.3,9.4,,,69.6,8.13,,,,,,,,,420.0,115.5,0.0,18.5,2.0,0.0,3.0,3.0,2.0,2.0,,
2022-12-12T00:30:00-05:00,,,,,52.3,9.39,,,69.6,8.11,,,,,,,,,418.5,116.5,0.0,20.0,2.0,0.0,3.0,3.0,2.5,2.5,,
2022-12-12T00:35:00-05:00,,,,,52.3,9.39,,,69.5,8.075,,,,,,,,,399.0,114.0,0.0,15.5,0.0,0.0,2.0,2.0,2.0,2.0,,
2022-12-12T00:40:00-05:00,,,,,52.3,9.37,,,69.5,8.06,,,,,,,,,411.0,115.5,0.0,16.5,2.0,0.0,3.0,3.0,3.0,3.0,,
2022-12-12T00:45:00-05:00,,,,,52.3,9.37,,,69.4,8.03,,,,,,,,,381.0,107.5,0.0,18.0,2.0,0.0,2.0,2.0,2.0,2.0,,
2022-12-12T00:50:00-05:00,,,,,52.3,9.36,,,69.35,8.01,,,,,,,,,391.5,105.0,0.0,14.0,0.0,0.0,2.0,2.0,2.0,2.0,,
2022-12-12T00:55:00-05:00,,,,,52.3,9.36,,,69.3,7.99,,,,,,,,,336.0,94.0,0.0,13.0,0.0,0.0,2.0,2.0,2.0,2.0,,
2022-12-12T01:00:00-05:00,,,,,52.3,9.36,,,69.2,7.97,,,,,,,,,327.0,93.0,0.0,14.0,0.0,0.0,2.0,2.0,2.0,2.0,,
2022-12-12T01:05:00-05:00,,,,,52.3,9.35,,,69.2,7.955,,,,,,,,,312.0,90.5,0.0,16.5,0.0,0.0,2.0,2.0,2.0,2.0,,
2022-12-12T01:10:00-05:00,,,,,52.3,9.34,,,69.1,7.94,,,,,,,,,318.0,88.5,0.0,13.0,0.0,0.0,2.0,2.0,1.5,1.5,,
2022-12-12T01:15:00-05:00,,,,,52.3,9.33,,,69.0,7.91,,,,,,,,,321.0,93.0,0.0,15.0,2.0,0.0,2.0,2.0,2.0,2.0,,
2022-12-12T01:20:00-05:00,,,,,52.3,9.32,,,68.85,7.9,,,,,,,,,334.5,98.5,0.0,15.0,0.0,0.0,2.0,2.0,2.0,2.0,,
2022-12-12T01:25:00-05:00,,,,,52.3,9.32,,,68.75,7.88,,,,,,,,,321.0,87.0,0.0,13.5,2.0,0.0,2.0,2.0,2.0,2.0,,
2022-12-12T01:30:00-05:00,,,,,52.3,9.32,,,68.6,7.865,,,,,,,,,283.5,80.5,0.0,15.5,0.0,0.0,1.0,1.0,1.0,1.0,,
2022-12-12T01:35:00-05:00,,,,,52.3,9.3,,,68.4,7.86,,,,,,,,,307.5,87.0,0.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,,
2022-12-12T01:40:00-05:00,,,,,52.3,9.3,,,68.3,7.84,,,,,,,,,295.5,82.5,0.0,14.0,0.0,0.0,2.0,2.0,2.0,2.0,,
2022-12-12T01:45:00-05:00,,,,,52.3,9.31,,,68.1,7.82,,,,,,,,,286.5,79.0,0.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,,
2022-12-12T01:50:00-05:00,,,,,52.3,9.28,,,68.0,7.81,,,,,,,,,244.5,70.0,0.0,11.0,2.0,0.0,1.0,1.0,1.0,1.0,,
2022-12-12T01:55:00-05:00,,,,,52.3,9.29,,,68.0,7.8,,,,,,,,,282.0,81.5,0.0,17.0,2.0,0.0,2.0,2.0,1.0,1.0,,
2022-12-12T02:00:00-05:00,,,,,52.3,9.28,,,67.9,7.78,,,,,,,,,277.5,80.0,0.0,13.0,2.0,0.0,1.0,1.0,1.0,1.0,,
2022-12-12T02:05:00-05:00,,,,,52.3,9.27,,,67.9,7.77,,,,,,,,,252.0,71.0,0.0,8.0,2.0,0.0,1.0,1.0,1.0,1.0,,
2022-12-12T02:10:00-05:00,,,,,52.2,9.26,,,67.9,7.76,,,,,,,,,226.5,68.0,0.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,,
2022-12-12T02:15:00-05:00,,,,,52.2,9.25,,,67.9,7.74,,,,,,,,,250.5,70.5,0.0,11.0,2.0,0.0,1.0,1.0,1.0,1.0,,
2022-12-12T02:20:00-05:00,,,,,52.2,9.25,,,67.7,7.73,,,,,,,,,280.5,80.5,0.0,12.5,2.0,0.0,2.0,2.0,1.0,1.0,,
2022-12-12T02:25:00-05:00,,,,,52.2,9.24,,,67.7,7.71,,,,,,,,,264.0,74.0,0.0,12.5,0.0,0.0,2.0,2.0,1.5,1.5,,
2022-12-12T02:30:00-05:00,,,,,52.2,9.23,,,67.6,7.7,,,,,,,,,232.5,69.0,0.0,15.0,2.0,0.0,2.0,2.0,1.0,1.0,,
2022-12-12T02:35:00-05:00,,,,,52.2,9.23,,,67.6,7.6850000000000005,,,,,,,,,222.0,63.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,,
2022-12-12T02:40:00-05:00,,,,,52.2,9.22,,,67.6,7.67,,,,,,,,,264.0,74.0,0.0,11.0,1.0,0.0,1.0,1.0,1.0,1.0,,
2022-12-12T02:45:00-05:00,,,,,52.2,9.22,,,67.5,7.65,,,,,,,,,261.0,72.0,0.0,15.0,0.0,0.0,2.0,2.0,1.0,1.0,,
2022-12-12T02:50:00-05:00,,,,,52.2,9.21,,,67.4,7.64,,,,,,,,,241.5,67.0,0.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,,
2022-12-12T02:55:00-05:00,,,,,52.2,9.2,,,67.4,7.635,,,,,,,,,201.0,55.0,0.0,8.5,0.0,0.0,1.0,1.0,1.0,1.0,,
2022-12-12T03:00:00-05:00,,,,,52.2,9.2,,,67.3,7.62,,,,,,,,,201.0,58.0,0.0,8.5,0.0,0.0,1.0,1.0,1.0,1.0,,
2022-12-12T03:05:00-05:00,,,,,52.2,9.19,,,67.2,7.62,,,,,,,,,247.5,70.0,0.0,11.0,2.0,0.0,1.0,1.0,1.0,1.0,,
2022-12-12T03:10:00-05:00,,,,,52.2,9.18,,,67.0,7.61,,,,,,,,,241.5,69.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,,
2022-12-12T03:15:00-05:00,,,,,52.2,9.17,,,67.0,7.59,,,,,,,,,217.5,69.0,0.0,8.5,0.0,0.0,1.0,1.0,0.0,0.0,,
